id,name,place,state,info,uid,coordinates
84,Gajendra Varada Perumāḷ,Tirukkavithalam (Kapisthalam),Tamil Nadu,,11,"10.948357046575826, 79.25721898320099"
85,Valvil Rāma Perumāḷ,Tiruppullambhūtaṅkuḍi,Tamil Nadu,,12,"10.97171114387934, 79.30377613598696"
86,Āṇḍu Aḷakkum Ayan Perumāḷ,Tiruādanūr,Tamil Nadu,,13,"10.97659937984453, 79.3134914966703"
87,Śārṅgapāṇi Perumāḷ,Tirukkudandhai,Tamil Nadu,,14,"10.959801452822104, 79.37535253899722"
88,Oppiliappan Perumāḷ,Tiruviṇṇagar,Tamil Nadu,,15,"10.961860701573807, 79.43230871201618"
89,Parimala Raṅganātha Perumāḷ,Tiruindalūr,Tamil Nadu,,16,"11.11004144445802, 79.64650385248889"
90,Devādi Rāja Perumāḷ,Tiruvazhundūr,Tamil Nadu,,17,"11.04650683011962, 79.57982219667083"
91,Aruḷmākadal Perumāḷ,Tirusirupuliyūr,Tamil Nadu,,18,"10.990274402255327, 79.66917675434338"
92,Sowrirāja Nīlamegha Perumāḷ,Tirukkaṇṇapuram,Tamil Nadu,,19,"11.178635569451792, 79.77952976597997"
93,Soundaryarāja Nīlamegha Perumāḷ,Tirunāgai,Tamil Nadu,,20,"10.760853992863392, 79.84077928275815"
94,Lokanātha Perumāḷ,Tirukkaṇṇaṅkuḍi,Tamil Nadu,,21,"10.756772274762968, 79.76334786926367"
95,Nānmadhiya Perumāḷ,Tirutalaicchaṅganānmadhiyam,Tamil Nadu,,22,"11.131085422229331, 79.78544474789818"
96,Tirunaraiyūr Nambi Perumāḷ,Tirunaraiyūr (Nācciyār Koil),Tamil Nadu,,23,"10.917178701343369, 79.44566284349727"
97,Sāraṇātha Perumāḷ,Tiruccherai,Tamil Nadu,,24,"10.878966529593974, 79.454315338583"
98,Bhaktavatsala Perumāḷ,Tirukkaṇṇamaṅgai,Tamil Nadu,,25,"10.799693710355946, 79.58670305392322"
99,Jaganātha Perumāḷ,Tirunandipura Viṇṇagaram (Nāthan Koil),Tamil Nadu,,26,"10.922243935788265, 79.37221213673715"
100,Kola Valvilli Rāma Perumāḷ,Tiruvelliyaṅkuḍi,Tamil Nadu,,27,"11.05698529049717, 79.4429588367381"
101,Trivikrama Perumāḷ,Kāḻicīrāmaviṇṇagaram,Tamil Nadu,,28,"11.241048511138683, 79.73163020975065"
102,Śrīnivāsa Perumāḷ,Tiruvellakkuḷam (Aṇṇaṉ Koil),Tamil Nadu,,29,"11.241111649198732, 79.73161948091546"
103,Deiva Nāyaka Perumāḷ,Tirudevanārtogai,Tamil Nadu,,30,"11.197125778254195, 79.77555805392628"
104,Lakṣmī Narasiṁha Perumāḷ,Tiruvāli Tirunagari,Tamil Nadu,,31,"11.203092183930195, 79.7748674677348"
105,Gopāla Kṛṣṇa Perumāḷ,Tirukāvalampāḍi,Tamil Nadu,,32,"11.19680652157534, 79.7941817723186"
106,Varadarāja Perumāḷ,Tirumaṇikkūḍam,Tamil Nadu,,33,"11.180543455708158, 79.7882022075094"
107,Tamaraiyāḷ Kēḷvan Perumāḷ,Tirupārthanpaḷḷi,Tamil Nadu,,34,"11.170160475303403, 79.79725440975015"
108,Nārāyaṇa Perumāḷ,Tirumaṇimāḍakkovil,Tamil Nadu,,35,"11.17395581558238, 79.77676096282946"
109,Kuḍamāḍu Kūttan Perumāḷ,Tiruarimeyaviṇṇagaram,Tamil Nadu,,36,"11.17509572105943, 79.77890712324458"
110,Śeṅgaṇmāl Raṅganātha Perumāḷ,Tiruttetriyambalam,Tamil Nadu,,37,"11.176692442443555, 79.7772866759025"
111,Pēraruḷāḷan Perumāḷ,Tirusemponseikovil,Tamil Nadu,,38,"11.178441238174194, 79.7796178465672"
112,Puruṣottama Perumāḷ,Tiruvaṇpuruṣottamam,Tamil Nadu,,39,"11.178693605070759, 79.77730244261296"
113,Vaikuṇṭha Nāthan Perumāḷ,Tiruvaikuṇṭaviṇṇagaram,Tamil Nadu,,40,"11.180052230992779, 79.77861538049324"
114,Govindarāja Perumāḷ,Tirucitrakūṭam,Tamil Nadu,,41,"11.39923897845731, 79.69335019694347"
115,Deiva Nāyaka Perumāḷ,Tiruvahīndrapuram,Tamil Nadu,,42,"11.196923967357016, 79.7755487020597"
116,Trivikrama Perumāḷ,Tirukkovilūr,Tamil Nadu,,43,"11.967162237751467, 79.20142109313005"
117,Varadarāja Perumāḷ,Tirukkacchi,Tamil Nadu,,44,"12.819370219054667, 79.72476265524928"
118,Ādikeśava Perumāḷ,Aṣṭabhujakaram,Tamil Nadu,,45,"12.822696307171332, 79.71085533866447"
119,Yathoktakāri Perumāḷ,Tiruvekkā,Tamil Nadu,,46,"12.82408451757835, 79.71236179686211"
120,Aḻagiya Siṅgar Perumāḷ,Tiruvelukkai,Tamil Nadu,,47,"12.822207070938013, 79.70646765171631"
121,Dīpa Prakāśa Perumāḷ,Tiruttaṅkā,Tamil Nadu,,48,"12.824415856918291, 79.70505595136646"
122,Ādi Varāha Perumāḷ,Tirukkaḷvanūr,Tamil Nadu,,49,"12.840907055467044, 79.70320154198033"
123,Ulagāḷanda Perumāḷ,Tiruūragam,Tamil Nadu,,50,"12.838999749073833, 79.70498824329934"
124,Jagadīśa Perumāḷ,Tirunīragam,Tamil Nadu,,51,"12.839488476904075, 79.70521733470159"
125,Karuṇākara Perumāḷ,Tirukāragam,Tamil Nadu,,52,"12.839128661837263, 79.70535240117621"
126,Tirukkārvāṇar Perumāḷ,Tirukkārvāṇam,Tamil Nadu,,53,"12.839155265168106, 79.70491775949587"
127,Vaikuṇṭha Perumāḷ,Tiruparameśvaraviṇṇagaram,Tamil Nadu,,54,"12.837195273591472, 79.71017255011618"
128,Pavala Vaṇṇar Perumāḷ,Tirupavalavaṇṇam,Tamil Nadu,,55,"12.86588330494833, 79.70102764419127"
129,Nilāttiṅgaḷ Tuṇḍattān Perumāḷ,Tirunilāttiṅgaḷtuṇḍam,Tamil Nadu,,56,"12.847696800411857, 79.69956905528554"
130,Pāṇḍava Dūta Perumāḷ,Tirupāḍagam,Tamil Nadu,,57,"12.84277816342419, 79.69714640085449"
131,Vijayarāghava Perumāḷ,Tiruputkuzhi,Tamil Nadu,,58,"12.872590281000312, 79.61888174613452"
132,Pārthasārathi Perumāḷ,Tiruvallikkēṇi,Tamil Nadu,,59,"13.05782851248043, 80.27805591720245"
133,Nīrvanna Perumāḷ,Tirunīrmalai,Tamil Nadu,,60,"12.972023349975919, 80.11326453492838"
134,Nitya Kalyāṇa Perumāḷ,Tiruvidaṇḍai,Tamil Nadu,,61,"12.763400837371421, 80.24536195579317"
135,Sthala Śayana Perumāḷ,Tirukkaḍalmallai,Tamil Nadu,,62,"12.617631322144156, 80.1929329282641"
136,Bhaktavatsala Perumāḷ,Tiruniṉṟavūr,Tamil Nadu,,63,"13.1125417704259, 80.02615401584293"
137,Vīrarāghava Perumāḷ,Tiruevvuḷūr,Tamil Nadu,,64,"13.143486086943275, 79.90725923903372"
138,Yoga Narasiṁha Svāmi,Tirukkaṭigai,Tamil Nadu,,65,"13.08929420877459, 79.41818542258336"
139,Kūḍal Aḻagar Perumāḷ,Tirukkūḍal,Tamil Nadu,,66,"9.914538404596993, 78.11416094733558"
140,Kālamegha Perumāḷ,Tirumogūr,Tamil Nadu,,67,"9.950873852356162, 78.20711112937796"
141,Kallazhagar Perumāḷ,Tirumāliruñjōlai,Tamil Nadu,,68,"10.075048284660713, 78.21307635929055"
142,Uraga Mellanāyān Perumāḷ,Tirukkōṣṭiyūr,Tamil Nadu,,69,"10.080745329785806, 78.2106827865487"
143,Satyagiri Nātha Perumāḷ,Tirumeyyam,Tamil Nadu,,70,"10.246810296294335, 78.75252554274142"
144,Kalyāṇa Jagannātha Perumāḷ,Tiruppullaṇi,Tamil Nadu,,71,"9.2831604477449, 78.82498703249183"
145,Ninra Nārāyaṇa Perumāḷ,Tiruttaṅkāl,Tamil Nadu,,72,"9.481870249445103, 77.81155976293157"
146,Vaḍapatra Śāyī Perumāḷ,Tiruvilliputtūr,Tamil Nadu,,73,"9.521790576383818, 77.63307244199574"
147,Vaikuṇṭhanātha Perumāḷ,Tiruvaikuṇṭam,Tamil Nadu,,74,"8.666196464598132, 77.891752827301"
148,Vijayāsana Perumāḷ,Tiruvaraguṇamaṅgai,Tamil Nadu,,75,"8.93200456115332, 77.96501813359917"
149,Kāycina Vēnda Perumāḷ,Tiruppuliṅguḍi,Tamil Nadu,,76,"8.972968188996779, 78.0068947586932"
150,Śrīnivāsa Perumāḷ,Tirukkulandai,Tamil Nadu,,77,"8.868445778803956, 78.02855471340217"
151,Aravinda Lōcana Perumāḷ,Tiruttolaivillimaṅgalam,Tamil Nadu,,78,"8.620782037787723, 77.97302253015445"
152,Makara Neḍuṅkuzhaikkādar Perumāḷ,Tirupperai,Tamil Nadu,,79,"8.603635031419207, 77.9866949307748"
153,Vaitha Mānidhi Perumāḷ,Tirukkōḷūr,Tamil Nadu,,80,"8.597108339632753, 77.95849790554607"
154,Ādinātha Perumāḷ,Tirukkurugūr (Āḻvār Tirunagari),Tamil Nadu,,81,"8.609099633161568, 77.93881417953719"
155,Tōṭādri Nātha Perumāḷ,Tiruvaramaṅgai (Vāṉamāmalai),Tamil Nadu,,82,"8.491965058028459, 77.65737269594689"
156,Ninra Nambi Perumāḷ,Tirukkuruṅguḍi,Tamil Nadu,,83,"8.436303889714598, 77.56503661502997"
157,Kuralappa Perumāḷ,Tiruvanparisāram,Tamil Nadu,,84,"8.294131426411202, 77.47422035651881"
158,Ādikeśava Perumāḷ,Tiruvaṭṭāru,Tamil Nadu,,85,"8.464469788196046, 77.28759896580665"
159,Ananta Padmanābha Svāmi,Tiruvaṉantapuram,Kerala,,86,"8.570738596309672, 76.94588034229275"
160,Māyappirān Perumāḷ,Tiruppuliyūr,Kerala,,87,"11.155093190259764, 79.70799129235051"
161,Imayavarappa Perumāḷ,Tiruccheṅkuṉṟūr,Kerala,,88,"9.326831530711083, 76.60428251756406"
162,Pārthasārathi Perumāḷ,Tiruāraṉvilai,Kerala,,89,"9.328776880431962, 76.6877939961638"
163,Pāmbaṇaiyappa Perumāḷ,Tiruvaṇvaṇḍūr,Kerala,,90,"9.34787799644677, 76.58106690781771"
164,Kolapirān Perumāḷ,Tiruvallavāḻ,Kerala,,91,"9.375347691075081, 76.56204934356386"
165,Adbhuta Nārāyaṇa Perumāḷ,Tirukkaḍithāṉam,Kerala,,92,"9.524983310448727, 76.54312046162703"
166,Kāṭkarai Appan Perumāḷ,Tirukkāṭkarai,Kerala,,93,"10.040905061362457, 76.3288968773362"
167,Mūḻikkalattān Perumāḷ,Tirumūḻikkalam,Kerala,,94,"10.187838760454966, 76.32703061317795"
168,Uyyavanda Perumāḷ,Tiruvittuvakkōḍu,Kerala,,95,"10.783014037485687, 76.18447770102128"
169,Nāvāy Mukunda Perumāḷ,Tirunāvāy,Kerala,,96,"10.863952381513258, 75.98190929286586"
170,Nava Narasiṁha Perumāḷ,Tirusiṅgaveḷkuṇḍram (Ahobilam),Andhra Pradesh,,97,"15.127477180326597, 78.73631148868093"
171,Kalyāṇa Nārāyaṇa Perumāḷ,Tirudvārakā,Gujarat,,98,"22.23729314665401, 68.96735737453372"
172,Śrī Rāma Perumāḷ,Tiruayodhi,Uttar Pradesh,,99,"26.795736904865525, 82.1944284609465"
173,Devarāja Perumāḷ,Tirunaimiśāraṇyam,Uttar Pradesh,,100,"27.350166542613557, 80.48343724879173"
174,Navamōhana Kṛṣṇa Perumāḷ,Tiruvāyppāḍi,Uttar Pradesh,,101,"27.429970384273858, 77.71395397337088"
175,Govardhana Nēśa Perumāḷ,Tiruvaḍamadurai,Uttar Pradesh,,102,"27.507304108860968, 77.66956361653557"
176,Nīlamegha Perumāḷ,Tirukkaṇḍam (Devaprayāg),Uttarakhand,,103,"30.14616624861107, 78.59867899733955"
177,Paramapuruṣa Perumāḷ,Tiruppirudi,Uttarakhand,,104,"30.556421437161113, 79.56586288342842"
178,Badrī Nārāyaṇa Perumāḷ,Tiruvadarīāśramam,Uttarakhand,,105,"30.74482473229278, 79.49124955672536"
179,Mūrti Perumāḷ,Tiruśālagramam,Nepal,,106,"28.81702523754103, 83.87178565945632"
180,Vyūha Vāsudeva,Tiruppārkaḍal,Kṣīrābdhi (Cosmic Ocean),,107,N/A
181,Para Vāsudeva,Tirupparamapadam,Aprākṛtika (Beyond the realms of creation),,108,N/A
